obsid next_obsid time timestop date datestop gui_ms manvr_angle manvr_slew_err one_shot roll_err pitch_err yaw_err
17265 17262 565870936.657 565876068.832 2015:341:10:21:08.473 2015:341:11:46:40.648 ENAB 1.31 20.4 1.641186237335205 0.659614930299736 0.32628533619783273 0.18759956239518039
17262 17272 565876430.657 565881612.033 2015:341:11:52:42.473 2015:341:13:19:03.849 ENAB 2.69 20.8 0.9178168177604675 1.8038836214466965 0.45974185063760986 0.24234207576023634
17272 17036 565882059.9580001 565888128.983 2015:341:13:26:31.774 2015:341:15:07:40.799 ENAB 101.52 44.6 16.984474182128906 1.033648704088763 0.3208049785871653 0.20665207576389677
17036 18040 565890243.558 565903411.734 2015:341:15:42:55.374 2015:341:19:22:23.550 ENAB 40.08 35.0 11.160425186157227 0.632522798819218 0.36562868907174434 0.2628148653517471
18040 17070 565904687.859 565917049.36 2015:341:19:43:39.675 2015:341:23:09:41.176 ENAB 54.49 42.1 6.490696430206299 1.4673638320794549 0.36613039781578255 0.2738819010302625
17070 51438 565918521.26 565928705.66 2015:341:23:34:13.076 2015:342:02:23:57.476 ENAB 0.0 20.3 4.51401424407959 1.067814049031474 0.3617123443125288 0.23907149528818958
51438 51437 565929209.96 565929399.585 2015:342:02:32:21.776 2015:342:02:35:31.401 ENAB 45.08 39.4 9.473280906677246 4.752888786378128 0.5779767273892948 0.7529845333934692
51437 51436 565930743.36 565933074.2099999 2015:342:02:57:55.176 2015:342:03:36:46.026 ENAB 59.49 30.9 1.3064661026000977 1.3398484316241983 0.32324060345123773 0.3457837295182507
51436 51435 565934605.561 565937854.811 2015:342:04:02:17.377 2015:342:04:56:26.627 ENAB 18.63 24.3 1.9307254552841187 1.0151834435813754 0.4271689769730899 0.26614646166622513
51435 51434 565938775.261 565946696.4610001 2015:342:05:11:47.077 2015:342:07:23:48.277 ENAB 92.01 34.4 12.22315788269043 1.1204176030304471 0.436901046050166 0.32205229060789436
51434 51433 565948668.561 565955415.112 2015:342:07:56:40.377 2015:342:09:49:06.928 ENAB 72.1 33.2 22.392309188842773 1.1163433018090416 0.4281044093995309 0.5165225839148346
51433 51432 565957151.462 565960680.5370001 2015:342:10:18:03.278 2015:342:11:16:52.353 ENAB 86.62 36.2 21.294921875 1.12983726724234 0.9211570642713398 0.36162484918905446
51432 51430 565962604.462 565976769.9629999 2015:342:11:48:56.278 2015:342:15:45:01.779 ENAB 160.86 49.8 23.3960018157959 0.7657699271482191 0.4363950601002629 0.3111749809009176
51430 18721 565979685.063 565981068.813 2015:342:16:33:36.879 2015:342:16:56:40.629 ENAB 87.35 63.4 36.55887985229492 1.6036846111938292 0.5478378840164857 0.3305865919655054
18721 17377 565983022.4629999 566009870.29 2015:342:17:29:14.279 2015:343:00:56:42.106 ENAB 45.73 42.8 7.186860084533691 1.0877503869611345 0.2478760860409587 0.24743643430130552
17377 17603 566011226.365 566061411.393 2015:343:01:19:18.181 2015:343:15:15:43.209 ENAB 44.98 45.4 8.473729133605957 0.858351736456537 0.22862790926361531 0.24720130053680583
17603 51429 566062751.0680001 566077091.844 2015:343:15:38:02.884 2015:343:19:37:03.660 ENAB 159.54 63.4 38.89997482299805 1.2885138945897496 0.2990607332734008 0.30744255599387665
51429 17274 566080016.169 566080248.844 2015:343:20:25:47.985 2015:343:20:29:40.660 ENAB 67.13 53.8 17.631610870361328 6.501258365312444 2.1669705621737743 4.649249086732783
